"organization_name","department_name","faculties"
"ZheJiang Academy of Agricultural Sciences","Department of Horticulture","mint"
"Northeast Normal University","Department of Plant Nutrition","med"
"Université de Strasbourg","Department of Developmental Biology","mint"
"Rutgers, The State University of New Jersey","Keck Centre for Collaborative Neuroscience and Department of Cell Biology and Neuroscience","mint"
"German Institute for Global and Area Studies","German Institute of Global and Area Studies","sowi"
"Staats- und Universitätsbibliothek Bremen","International Studies of Aquatic Tropical Ecology","mint"
"Woods Hole Oceanographic Institution","ARC Centre of Excellence for Climate Extremes","mint"
"Institute of Oceanology","Institut für Meerskunde","mint"
"Leuphana Universität Lüneburg","Social-Ecological System Institute","sowi"
"Universität Hamburg","Department of English and American Studies","phil"
"Universität Rostock","Faculty of Agricultural & Environmental Sciences","agrar"
"Universität Hamburg","Department of Biology","mint"
"Swiss Finance Institute","KOF Swiss Economic Institute at ETH Zurich","sowi"
"Beijing Institute of Technology","Department of Business Administration","sowi"
"Carl von Ossietzky Universität Oldenburg","Department of Psychology","med"
"Zhejiang University of Finance and Economics","Department of Urban and Rural Planning","sowi"
"MSH Medical School Hamburg – University of Applied Sciences and Medical University","Martin-Luther-University Halle-Wittenberg","med"
"CAU Kiel","Institut für Haustierkunde","sowi"
"Leibniz Institute for Neurobiology","Center for Behavioral Brain Sciences (CBBS)","mint"
"East China University of Technology","Key Laboratory of Mineral Resources","mint"
"Universität Rostock","Department for Computer Science","tech"
"Sjællands Universitetshospital, Nykøbing F.","Department of Cardiology","med"
"Government of Nepal","Department of Forests","mint"
"Universität Rostock","Universität Rostock","mint"
"Hamburg University of Technology","Technical University of Hamburg","tech"
"German Centre for Cardiovascular Research","DZHK ()","med"
"University of Oslo","Physics of Geological Processes","mint"
"Seoul National University","FB5 Geowissenschaften","mint"
"Harvard University","Centre for Economic Policy Research (CEPR)","sowi"
"Carl von Ossietzky Universität Oldenburg","Institute of Chemistry Carl von Ossietzky University of Oldenburg","mint"
"Universität Bremen","Department of Anthropology and Cultural Research","mint"
"Nanjing Institute of Vegetable Science","Department of Horticulture","mint"
"Universität Greifswald","Institute for British and North American Studies","phil"
"Institute of Paleobiology","Department of Geoscience","mint"
"Institute of Tibetan Plateau Research","Department of Wood Science","mint"
"Goethe University Frankfurt","Institute for Ecology","mint"
"Aarhus University","Department of Biomedicine","med"
"Thai Nguyen University of Agriculture and Forestry","Department of Silviculture","med"
"CAU Kiel","Department of Applied Mathematics and Physics","mint"
"Christian-Albrechts-Universität zu Kiel Walther-Schücking-Institut für Internationales Recht",NA,"mint"
"CAU Kiel","Archaeological Micromorphology and Biomarkers – AMBI Lab","mint"
"Institute of Law","GmbH & Co. KG Postfach 2040 D-72010 Tübingen","jura"
"University of the Philippines System","National Institute of Geological Sciences","mint"
"Leuphana Universität Lüneburg","Social-Ecological Systems Institute (SESI)","sowi"
"Max Planck Institute for Evolutionary Anthropology","Department of Cariology","mint"
"Universität Bremen","Institute for Labor and Economics","sowi"
"Leibniz Institute for Applied Geophysics",NA,"mint"
"Universität Hamburg","Zentrum für Bioinformatik","mint"
"Universität Hamburg","Zoologisches Museum der","mint"
"Universität Hamburg","Zentrum für Innere Medizin und Zentrum für Operative Medizin","mint"
"Evangelisches Krankenhaus Oldenburg","Universitätsklinik für Hals-Nasen-Ohrenheilkunde am Evangelischen Krankenhaus Oldenburg","med"
"Universität Hamburg","Department of General","med"
"Universität Bremen","Institute of Project Management and Innovation","sowi"
"Leuphana Universität Lüneburg","Chair of Nature Conservation and Landscape Ecology","mint"
"Leibniz Institute for the Analysis of Biodiversity Change","LIB)","mint"
"Nanjing Normal University","Department of Geology and Geophysics","mint"
"CAU Kiel","Molecular Physiology","mint"
"International Zinc Association","IZA","tech"
"Universität Hamburg","From the Heinrich-Pette-Institut für Experimentelle Virologie und Immunologie an der","med"
"Hamburg University of Technology","Prof.","tech"
"Georgia Institute of Technology","Georgia Tech","tech"
"Italian Institute of Technology","Istituto Italiano di Tecnologia (IIT)","tech"
"Karlsruhe Institute of Technology","Institute for Chemical Technology and Polymer Chemistry","tech"
"German Institute for Economic Research","Humboldt-Universität zu Berlin and","sowi"
"Max Planck Institute for the Science of Human History","Department of Archaeology","phil"
"Carl von Ossietzky Universität Oldenburg","Ecological Economics Group","sowi"
"Max Planck Institute for the Science of Human History","Department of Anthropology","mint"
"Universität Rostock","Medizinische Fakultät der Universität Rostock.","med"
"Universität Bremen","Institute for Institutional and Innovation Economics (IINO)","sowi"
"Universität Bremen","Institute for Institutional and Innovation Economics (iino)","sowi"
"University of Aberdeen","School of Geosciences","mint"
"Polish Academy of Sciences","Department of Geoscience","mint"
"National Research and Innovation Agency","Paleoclimate and Paleoenvironment Research Group","mint"
"Hamburg University of Technology","Institute of Air Transportation Systems","tech"
"Kaohsiung Municipal Hsiao-Kang Hospital","Institut für Geophysik","mint"
"Hohai University","College of Oceanography","mint"
"Senckenberg Research Institute and Natural History Museum Frankfurt/M","Senckenberg Naturmuseum","mint"
"Universität Bremen","IPMI - Institute of Project Management and Innovation","sowi"
"Bauhaus-Universität Weimar","Direktor der Universitäts-Hautklinik Kiel Schittenhelmstraße 7","med"
"Universität Bremen","ISIS Sensorial Materials Scientific Centre","mint"
"Guangzhou University","Department of Food Economics and Consumption Studies","agrar"
"Carl von Ossietzky Universität Oldenburg","Department of Anatomy and Cell Biology","med"
"Centre National de la Recherche Scientifique","Department of Developmental Biology","mint"
"Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR)","Deutsches Zentrum für Luft- und Raumfahrt (DLR)","tech"
"Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR)","Deutsches Zentrum für Luft-und Raumfahrt (DLR)","tech"
"University of Freiburg","Department of Ophthalmology","med"
"IZA - Institute of Labor Economics","DIW Berlin","sowi"
"Institute of World Economics",NA,"sowi"
"Leibniz Institute of Agricultural Development in Transition Economies","Department of Agricultural Markets","mint"
"CAU Kiel","Leibniz Information Center for Economics and","sowi"
"Universität Greifswald","Department of Business Administration and Health Care Management","sowi"
"Klinikum Oldenburg",NA,"med"
"Ilia State University","Department of Civil Engineering","tech"
"Hochschule Bremen - City University of Applied Sciences Bremen","Bionik","tech"
"Universität Hamburg","Chemistry Department","mint"
"Barcelona Supercomputing Center",NA,"tech"
"Government of Nepal","Department of National Parks and Wildlife Conservation","mint"
"Leuphana Universität Lüneburg","Faculty of Sustanability, Institute of Sustainable and Environmental Chemistry","mint"
"Universität Bremen","Institute for Religious Studies and Religious Education","rewi"
"German Center for Infection Research","Centre for Structural Systems Biology (CSSB)","med"
"Universität Bremen","Environmental Engineering Division","tech"
"National Institute of Advanced Industrial Science and Technology","AIST)","tech"
"Universität Greifswald","Department of General Business Administration and Health Care Management","med"
"Chinese Academy of Cultural Heritage","China Quyi Artists Association","phil"
"Indian Institute of Technology Jodhpur","Department of Civil and Infrastructure Engineering","tech"
"National Taiwan Normal University","Biodiversity Program","mint"
"Klinikum Oldenburg","HörTech gGmbH","mint"
"Universitat Greifswald","Department of Molecular Genetics and Infection Biology, Interfaculty Institute for Genetics and Functional Genomics, Center for Functional Genomics of Microbes","mint"
"Humboldt-Universität zu Berlin","and German Institute for Economic Research (DIW Berlin)","sowi"
"State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation","Division of Key Laboratory of Carbonate Reservoirs","mint"
"Universität Hamburg","Department for Inorganic Environmental Chemistry","mint"
"Universität Bremen","Department for Geodynamics and Sedimentology","mint"
"Universität Greifswald","Department of School Pedagogics","phil"
"CAU Kiel","Department of Organic Geochemistry","mint"
"Center of Brain, Behavior and Metabolism",NA,"mint"
"Centre for Nursing Innovation","Nursing Research","mint"
"CAU Kiel","Department of Functional Morphology and Biomechanics","med"
"CAU Kiel","From the Biochemisches Institut","mint"
"Southwest Petroleum University","Division of Key Laboratory of Carbonate Reservoirs","med"
"University of Otago","Department of Microbiology and Biotechnology","med"
"Senckenberg German Entomological Institute",NA,"mint"
"China Pharmaceutical University",NA,"med"
"South China Sea Institute Of Oceanology","Institut für Meerskunde","mint"
"Technische Hochschule Lübeck","Civil Engineering, Lab. for Hydrology","tech"
"Universität Bremen","Institut für Organische und Analytische Chemie","mint"
"Eye Center","Department of Ophthalmology","med"
"ARC Centre of Excellence for Climate System Science","ARC Centre of Excellence for Climate Extremes","mint"
"Royal Netherlands Institute for Sea Research","Institut für Geowissenschaften","mint"
"Technische Universität Clausthal","Department of Geology","mint"
"Carl von Ossietzky University Oldenburg","Institute of Sport Science","phil"
"Universität Hamburg","Department of Zoology and Aquatic Science","mint"
"Hochschule Bremen, City University of Applied Sciences","Biomimetics","tech"
